,type,in_size,out_size,ops,params
classifier,Linear,,,,
classifier_proj,Linear,,,,
bottleneck,BatchNorm1d,"(1, 768)","(768,)",1536,1536
bottleneck_proj,BatchNorm1d,"(1, 512)","(512,)",1024,1024
image_encoder.conv1,Conv2d,"(1, 3, 256, 128)","(768, 16, 8)",75497472,589824
image_encoder.ln_pre,LayerNorm,,,,
image_encoder.transformer.resblocks.0.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.0.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.0.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.0.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.0.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.0.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.1.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.1.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.1.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.1.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.1.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.1.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.2.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.2.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.2.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.2.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.2.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.2.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.3.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.3.ln_1,LayerNorm,,,,
